job_class,sum
模拟芯片工程师/技术员,201
行政专员/助理,310
商务经理/主管,119
技术文员/助理,69
资料管理员,20
营运经理/主管,36
法务经理/主管,82
激光/光电子技术,110
仓库经理/主管,45
移动开发工程师/技术员,33
活动策划,21
文员,110
知识产权/专利/商标,72
技术支持经理/主管,60
.NET开发工程师/技术员,29
专员/助理,6
英语翻译,11
项目执行/协调人员,74
订单处理员,24
讲师,2
装配工程师/技术员,56
客户经理/主管,103
生产经理/主管,132
基金项目经理/主管,18
培训讲师,18
区域销售经理/主管,120
组装工,85
电工,108
数控操机,50
运营专员/助理,85
音响工程师/技术员,27
仿真应用工程师/技术员,34
Web前端开发,158
实习生,98
法务专员/助理,71
技术总监,49
折弯工,6
给排水/暖通工程,39
Python开发工程师/技术员,19
销售行政助理,21
网络管理,66
税务专员/助理,7
切割工,15
模具工,21
成本管理员,36
多媒体开发工程师/技术员,33
游戏开发工程师/技术员,5
经销商,4
化工实验室研究员,53
射频芯片设计,55
工厂经理/厂长,15
副总经理/副总裁,22
建筑机电工程师/技术员,18
统计员,22
学徒工,6
市场/营销/拓展总监,51
大客户管理,140
医疗器械研发,30
体系工程师/技术员,19
系统架构设计师,108
物流经理/主管,14
市场企划专员/助理,39
楼宇自动化,15
锅炉工,3
化工工程师/技术员,60
电商运营,69
UI设计师,56
CNC工程师/技术员,24
机器视觉工程师/技术员,36
物料经理/主管,53
物料专员/助理,47
应届毕业生,114
故障分析工程师/技术员,17
涂料研发工程师/技术员,5
单证员,15
产品专员/助理,91
焊工,93
安全员,42
安全工程师/技术员,64
电商专员/助理,32
数字前端工程师/技术员,108
生产经理/车间主任,39
技术文档工程师/技术员,40
市场分析/调研人员,33
建筑制图/模型/渲染,6
室内设计,8
成本经理/主管,35
会计,17
日语翻译,10
韩语/朝鲜语翻译,10
首席技术执行官CTO,7
首席信息官CIO,5
总工程师,6
副总工程师,6
电路工程师/技术员,29
总监,17
经理/主管,17
招商/租赁/租售,6
变压器与磁电工程师/技术员,9
运营专员/助理/助理,27
中医科医生,1
行政经理/主管,49
办公室主任,49
新媒体运营,51
建筑工程管理,32
搬运工,6
水利/水电工程师/技术员,6
网店店长,10
美工/电商设计师,39
医疗器械注册,4
线上运营经理/主管,19
FPGA开发工程师/技术员,102
媒介经理/主管,7
音效师,3
医药技术研发人员,8
仪器/仪表/计量分析师,19
线上运营总监,4
标准化工程师/技术员,19
空调工,12
通信电源工程师/技术员,10
保安人员,11
Android开发工程师/技术员,96
招投标管理,20
安全经理/主管,22
市场企划经理/主管,38
