job_class,sum
配置管理工程师/技术员,7
认证工程师/技术员,10
技术员,6
飞行器设计与制造,6
汽车装配工艺工程师/技术员,3
数字后端工程师/技术员,62
MEMS工程师/技术员,19
产品总监,14
食品/饮料研发,3
建筑工程师/技术员,4
建筑安装施工员,7
房产项目配套工程师/技术员,3
合伙人,3
合规经理/主管,20
合规专员/助理,10
语音识别工程师/技术员,16
深度学习工程师/技术员,26
有线传输工程师/技术员,5
电信交换工程师/技术员,3
通信网络工程师/技术员,15
数据通信工程师/技术员,13
脚本开发工程师/技术员,5
财务分析员,28
图像识别工程师/技术员,7
电脑维修,4
材料工程师/技术员,20
大数据开发工程师/技术员,18
防损员/内保,1
培训经理/主管,22
计量工程师/技术员,6
包装设计,14
铣工,5
PHP开发工程师/技术员,11
预结算员,7
废气处理工程师/技术员,3
企业文化/员工关系/工会管理,64
科研管理人员,8
医药技术研发管理人员,2
医疗器械销售代表,4
设备经理/主管,14
影视策划/制作人员,10
后期制作,9
印刷机械机长,1
轨道交通工程师/技术员,3
船舶工程师/技术员,6
网站维护工程师/技术员,10
公关经理/主管,22
公关总监,4
环保工程师/技术员,8
注塑工程师/技术员,13
绘画网页设计师,1
首席执行官CEO/总裁/总经理,6
区域销售总监,14
化验员,1
汽车安全性能工程师/技术员,11
电子设备工程师/技术员,3
行政总监人事总监,1
模拟芯片架构工程师/技术员,130
机器学习工程师/技术员,22
首席运营官COO,2
医疗器械市场推广,7
失效分析工程师/技术员,41
项目专员/助理,15
导演/编导,6
茶艺师,1
餐饮店长/经理,1
金融/经济研究员,5
医药技术研发人员医疗器械研发,1
人事总监,25
快递员,7
工程造价师,10
预结算经理,10
清洁工,5
专业顾问,23
汽车质量工程师/技术员,13
飞行器设计与制造技术研发经理/主管,1
融资经理/主管,2
钳工模具工,3
冲压工程师/技术员,9
电商经理/主管,16
咨询员,3
投资/理财顾问,3
财务总监,26
化学分析测试员,8
展览/展示/店面设计,7
HTML5开发工程师/技术员,26
采购总监,8
政府事务管理,11
家用电器/数码产品研发,5
封装工程师/技术员,95
计算机辅助设计工程师/技术员,13
iOS开发工程师/技术员,11
EDA工程师/技术员,28
电源开发工程师/技术员研究员,2
供应链经理/主管,13
动画/3D设计,12
律师,7
法律顾问,5
媒介销售,1
研发工程师/技术员,3
电商总监,6
汽车设计工程师/技术员,10
自然语言处理,2
人力资源信息系统专员/助理,5
数据分析师,26
推荐算法工程师/技术员,1
猎头/人才中介,6
生产/营运,2
物业维修员,3
房地产项目招投标,4
