job_class,sum
产品/品牌经理市场通路经理/主管,1
电池/电源开发,41
FAE 现场应用工程师集成电路IC设计/应用工程师,15
售前/售后技术支持工程师技工,1
工厂经理/厂长副总经理/副总裁,2
技工电子/电器维修工程师/技师,3
硬件测试工程师电子工程师/技术员,9
财务主管/总账主管,56
自动控制工程师/技术员,38
产品/品牌经理,50
质量管理/测试经理测试经理,1
学徒工普工/操作工,2
销售行政专员商务主管/专员,5
工程/设备工程师,122
市场/营销/拓展总监市场/营销/拓展经理,7
会计财务助理/财务文员,8
质量管理/测试工程师体系工程师,5
电子技术研发工程师集成电路IC设计/应用工程师,12
电子工程师/技术员电子技术研发工程师,48
生产主管生产领班/组长,8
质量管理/测试经理,84
法务经理知识产权/专利/商标,1
智能大厦/综合布线/安防/弱电楼宇自动化,10
通信技术工程师电子工程师/技术员,5
自动控制工程师/技术员电气工程师/技术员,11
机械工程师化工技术应用/化工工程师,1
化工技术应用/化工工程师,29
项目经理/主管,61
项目经理/主管项目经理,8
电子工程师/技术员半导体技术,6
生物工程/生物制药其他,2
工程/设备经理,11
CNC工程师售前/售后技术支持工程师,1
客服专员/助理销售助理,5
业务分析经理/主管业务分析专员/助理,1
产品经理/主管机器视觉工程师,1
前台接待/总机/接待生行政专员/助理,23
销售行政助理客服专员/助理,7
项目管理项目经理/主管,4
技工普工/操作工,12
电子/电器维修工程师/技师半导体技术,3
电子工程师/技术员激光/光电子技术,1
客服专员/助理客户关系经理/主管,2
物料主管/专员供应链主管/专员,1
汽车项目管理项目经理/主管,2
销售代表商务主管/专员,2
售前/售后技术支持主管售前/售后技术支持工程师,11
电子技术研发工程师产品工艺/制程工程师,1
仓库经理/主管,29
业务拓展主管/经理,52
人事专员招聘专员/助理,8
售前/售后技术支持主管,17
集成电路IC设计/应用工程师质量管理/测试工程师,2
大学/大专应届毕业生,114
涂料研发工程师化工技术应用/化工工程师,3
电气工程师/技术员售前/售后技术支持工程师,1
工业设计/产品设计平面设计师,1
电气工程师/技术员集成电路IC设计/应用工程师,1
电路工程师/技术员半导体技术,1
半导体技术电路工程师/技术员,2
市场/营销/拓展主管市场/营销/拓展专员,2
自动控制工程师/技术员维修工程师,1
产品工艺/制程工程师半导体技术,1
半导体技术激光/光电子技术,2
单证员物流专员/助理,2
产品/品牌经理产品/品牌专员,2
焊接工程师/技师,26
版图设计工程师集成电路IC设计/应用工程师,17
IC验证工程师电路工程师/技术员,1
集成电路IC设计/应用工程师电子技术研发工程师,20
商务主管/专员,46
技术支持/维护工程师售前/售后技术支持工程师,30
其他市场/营销/拓展专员,1
安全员环境/健康/安全工程师,3
