job_class,sum
技术研发工程师工程/机械绘图员,3
软件工程师电子工程师/技术员,1
化工技术应用/化工工程师化学分析测试员,2
业务拓展主管/经理市场/营销/拓展经理,1
销售行政助理经理助理/秘书,2
客户代表业务拓展主管/经理,1
实验室负责人/工程师其他,2
ERP实施顾问售前/售后技术支持主管,1
展览/展示/店面设计,3
楼宇自动化智能大厦/综合布线/安防/弱电,1
质量管理/测试工程师软件测试工程师,1
集成电路IC设计/应用工程师芯片架构工程师,6
市场/营销/拓展专员半导体技术,1
会计经理/会计主管财务主管/总账主管,1
绩效考核专员/助理,9
质检员/测试员质量管理/测试主管,3
家用电器/数码产品研发,3
质检员/测试员电子工程师/技术员,2
市场分析/调研人员市场企划经理/主管,1
人事主管行政专员/助理,1
电子工程师/技术员其他,3
产品工艺/制程工程师生产领班/组长,2
激光/光电子技术产品经理/主管,2
测试工程师仪器/仪表/计量分析师,1
物流专员/助理搬运工,1
总监/部门经理,13
电子工程师/技术员电子软件开发,3
工业工程师产品工艺/制程工程师,3
集成电路IC设计/应用工程师产品工艺/制程工程师,1
半导体技术电池/电源开发,1
产品/品牌经理市场企划经理/主管,2
可靠度工程师集成电路IC设计/应用工程师,1
销售经理渠道/分销经理,8
智能大厦/综合布线/安防/弱电产品/品牌经理,1
售前/售后技术支持工程师工程/设备工程师,1
技术研发工程师激光/光电子技术,3
C/C++开发工程师系统集成工程师,1
市场分析/调研人员产品/品牌专员,1
产品总监产品经理/主管,2
变压器与磁电工程师电子工程师/技术员,1
网站运营经理/主管,6
装配工程师/技师电气工程师/技术员,1
电池/电源开发科研人员,1
工程/设备工程师机电工程师,2
集成电路IC设计/应用工程师电气工程师/技术员,2
激光/光电子技术产品工艺/制程工程师,2
维修工程师电子工程师/技术员,2
电路工程师/技术员IC验证工程师,1
动画/3D设计,5
C/C++开发工程师软件工程师,16
律师/法律顾问,5
销售工程师集成电路IC设计/应用工程师,1
电路工程师/技术员结构工程师,1
电子/电器维修工程师/技师电工,1
版图设计工程师电子工程师/技术员,5
销售助理网络销售/在线销售,1
商务助理行政专员/助理,1
电气/电器工程师技术研发工程师,1
工程/设备工程师机修工,1
自动控制工程师/技术员工业工程师,1
装配工程师/技师技工,1
软件测试工程师质检员/测试员,1
产品工艺/制程工程师装配工程师/技师,1
产品规划工程师产品工艺/制程工程师,1
电子/电器维修工程师/技师质检员/测试员,1
房地产中介/置业顾问,4
集成电路IC设计/应用工程师仪器/仪表/计量分析师,1
机电工程师给排水/暖通工程,2
智能大厦/综合布线/安防/弱电安防系统工程师,2
售前/售后技术支持主管化工技术应用/化工工程师,2
售前/售后技术支持工程师化工技术应用/化工工程师,1
生产经理/车间主任电子工程师/技术员,1
渠道/分销经理渠道/分销主管,1
客户经理/主管销售工程师,2
半导体技术技术支持/维护工程师,2
电子工程师/技术员电池/电源开发,4
半导体产品经理/产品工程师,69
技术支持/维护工程师客户代表,1
招聘经理/主管人事专员,1
工程/设备工程师产品工艺/制程工程师,4
工程/设备工程师电子工程师/技术员,1
薪资福利经理/主管,11
薪资福利专员/助理,11
集成电路IC设计/应用工程师系统工程师,2
运维/技术支持售前/售后技术支持工程师,1
猎头/人才中介,5
产品经理/主管产品/品牌主管,2
生产/营运,1
招商/租赁/租售,4
人事助理薪资福利专员/助理,1
C/C++开发工程师高级软件工程师,6
项目执行/协调人员电子工艺工程师,1
广告创意/设计经理,1
护士/护理人员,1
售前/售后技术支持工程师电气工程师/技术员,1
工程/机械绘图员电力工程师/技术员,1
半导体技术售前/售后技术支持工程师,8
企业秘书/董事会秘书,18
物流/仓储,1
技术文员/助理其他,1
生产文员客服专员/助理,1
市场/营销/拓展专员销售行政专员,1
新能源电控工程师研发总监/部长/专家,1
半导体产品经理/产品工程师芯片架构工程师,1
网络销售/在线销售网络/在线客服,1
数字前端工程师集成电路IC设计/应用工程师,7
财务分析经理/主管,16
技术支持/维护工程师ERP实施顾问,1
集成电路IC设计/应用工程师市场通路专员,1
产品/品牌经理电子产品经理/产品工程师,1
影视策划/制作人员,5
客服专员/助理贸易/外贸专员/助理,1
财务分析员会计经理/会计主管,1
硬件工程师视觉/交互设计,1
质量管理/测试主管前期质量工程师,1
贸易/外贸专员/助理大客户销售,1
行政专员/助理前台接待/总机/接待生,12
集成电路IC设计/应用工程师产品规划工程师,1
单证员贸易/外贸专员/助理,1
半导体产品经理/产品工程师集成电路IC设计/应用工程师,2
电子元器件工程师电子工程师/技术员,3
销售总监总监/部门经理,1
集成电路IC设计/应用工程师射频芯片设计,6
展览/展示/店面设计多媒体设计,1
文员生产计划/物料管理,1
电子/电器维修工程师/技师嵌入式硬件开发,2
半导体技术市场/营销/拓展经理,1
市场/营销/拓展经理市场/营销/拓展总监,2
半导体技术质量管理/测试工程师,1
行政经理/主管/办公室主任行政专员/助理,4
工程/设备经理电子工艺工程师,1
大客户销售市场/营销/拓展经理,1
客户经理/主管大客户管理,1
物料主管/专员,20
供应链主管/专员物流主管,1
工程/设备主管,11
电气工程师/技术员工程/设备工程师,1
工程/机械绘图员技术研发工程师,3
仓库管理员质检员/测试员,1
项目执行/协调人员智能大厦/综合布线/安防/弱电,1
质检员/测试员普工/操作工,5
人事主管行政经理/主管/办公室主任,4
贸易/外贸专员/助理销售代表,2
生产/营运生产计划/物料管理,1
计算机辅助设计工程师项目执行/协调人员,1
客服主管商务主管/专员,1
技术支持/维护工程师自动控制工程师/技术员,3
硬件工程师电子产品经理/产品工程师,1
自动控制工程师/技术员高级硬件工程师,1
FAE 现场应用工程师自动控制工程师/技术员,1
技术支持/维护工程师硬件测试工程师,2
财务/审计/税务,1
电声/音响工程师/技术员智能大厦/综合布线/安防/弱电,1
电气工程师/技术员嵌入式软件开发,2
咨询经理咨询/顾问,1
工程/机械绘图员机电工程师,2
电子产品经理/产品工程师,27
行政专员/助理人事专员,5
售前/售后技术支持主管智能大厦/综合布线/安防/弱电,1
自动控制工程师/技术员机电工程师,1
结构工程师工程/机械绘图员,3
芯片测试工程师集成电路IC设计/应用工程师,3
网站运营专员网站运营经理/主管,1
技术总监/经理,24
大客户销售智能大厦/综合布线/安防/弱电,1
电子/电器维修工程师/技师维修工程师,6
机电工程师自动控制工程师/技术员,2
技术总监/经理IT经理/IT主管,1
智能大厦/综合布线/安防/弱电运维工程师,1
工程/设备主管工程/设备工程师,1
文案/策划新媒体运营,3
售前/售后技术支持工程师激光/光电子技术,4
焊工焊接工程师/技师,1
售前/售后技术支持工程师产品经理/主管,1
规划与设计园艺/园林/景观设计,2
智能大厦/综合布线/安防/弱电销售总监,2
产品经理/主管用户产品经理,2
售前/售后技术支持工程师网络/在线客服,1
电子设备工程师电子/电器维修工程师/技师,1
机械工程师装配工程师/技师,1
装配工程师/技师电工,2
电气工程师/技术员变压器与磁电工程师,1
项目工程师项目执行/协调人员,2
电子工程师/技术员售前/售后技术支持工程师,1
财务主管/总账主管成本经理/成本主管,1
产品工艺/制程工程师机械工程师,2
集成电路IC设计/应用工程师封装研发工程师,1
芯片架构工程师C/C++开发工程师,1
产品/品牌专员文案/策划,2
影视策划/制作人员导演/编导,1
嵌入式硬件开发C/C++开发工程师,2
焊接工程师/技师焊接工艺工程师,1
大客户管理业务拓展主管/经理,3
法务经理法务主管/专员,2
集成电路IC设计/应用工程师模拟版图工程师,1
集成电路IC设计/应用工程师芯片测试工程师,3
产品经理/主管产品专员,2
集成电路IC设计/应用工程师售前/售后技术支持工程师,1
Android开发工程师C/C++开发工程师,1
质量管理/测试工程师汽车质量工程师,2
产品经理/主管项目经理/主管,1
电子工程师/技术员医药技术研发管理人员,1
项目经理/主管售前/售后技术支持工程师,2
质检员/测试员半导体技术,1
门店经理/店长,4
知识产权/专利/商标科研管理人员,1
企业文化/员工关系/工会管理培训专员/助理/培训师,1
水利/水电工程师工程/设备主管,1
产品/品牌主管市场企划经理/主管,3
半导体设备工程师工程/设备工程师,1
智能大厦/综合布线/安防/弱电幕墙工程师,1
集成电路IC设计/应用工程师技术研发经理/主管,1
工业设计/产品设计动画/3D设计,1
平面设计师美工/电商设计师,3
文案/策划公关/媒介助理,1
SEO/SEM数据运营,1
大学/大专应届毕业生研究生,1
薪资福利专员/助理绩效考核专员/助理,1
装配工程师/技师维修工程师,2
产品/品牌经理文案/策划,1
市场企划经理/主管产品/品牌经理,1
媒介主管文案/策划,1
法务助理法务主管/专员,2
环境/健康/安全工程师其他,1
电路工程师/技术员电池/电源开发,1
绩效考核专员/助理薪资福利专员/助理,2
系统集成工程师技术支持/维护工程师,1
网店客服网络销售/在线销售,1
质量管理/测试工程师储备干部,1
硬件测试工程师电路工程师/技术员,1
工业设计/产品设计机械工程师,1
生产领班/组长生产计划/物料管理,3
业务拓展主管/经理销售代表,1
C/C++开发工程师EDA工程师,1
助理业务跟单贸易/外贸专员/助理,1
轨道交通工程师/技术员,1
质检员/测试员故障分析工程师,2
项目主管智能大厦/综合布线/安防/弱电,1
审核员质量管理/测试工程师,1
总监/部门经理销售总监,1
韩语/朝鲜语翻译,3
产品工艺/制程工程师工艺整合工程师,4
贸易/外贸专员/助理电商专员,1
韩语/朝鲜语翻译其他,1
合规主管/专员储备干部,1
系统架构设计师电气工程师/技术员,1
半导体器件工程师电子工程师/技术员,2
质量管理/测试工程师材料工程师,1
质量管理/测试工程师韩语/朝鲜语翻译,1
销售代表贸易/外贸经理/主管,1
动画/3D设计特效设计师,1
技术支持/维护工程师网络安全工程师,1
渠道/分销专员电话销售,2
产品专员产品经理/主管,9
电池/电源开发硬件工程师,3
渠道/分销总监合伙人,1
Web前端开发C/C++开发工程师,1
固定资产会计财务主管/总账主管,1
前台接待/总机/接待生企业文化/员工关系/工会管理,1
客服专员/助理售前/售后技术支持工程师,3
锅炉工程师/技师空调/热能工程师,1
研发总监/部长/专家技术总监/经理,1
文案/策划广告创意/设计主管/专员,1
夹具工程师/技师工程/机械绘图员,1
网络销售/在线销售网站运营专员,1
高级硬件工程师电子工程师/技术员,4
生产计划/物料管理生产经理/车间主任,1
切割技工冲压工程师/技师,1
医疗器械研发电子工程师/技术员,2
医疗器械生产/质量管理医疗器械注册,2
动画/3D设计后期制作,2
美工/电商设计师平面设计经理/主管,1
项目经理项目执行/协调人员,2
产品经理/主管空调/热能工程师,1
物流专员/助理报关与报检,3
销售工程师市场/营销/拓展专员,2
行政专员/助理文员,6
技术总监/经理高级软件工程师,1
电路工程师/技术员技术支持/维护工程师,1
客户关系经理/主管,8
人事经理薪资福利经理/主管,1
设备主管生产领班/组长,2
质量管理/测试主管采购材料、设备质量管理,1
销售代表售前/售后技术支持经理,1
电商运营电商经理/电商主管,2
产品经理/主管区域销售经理,1
金融/经济研究员证券分析师,1
电声/音响工程师/技术员硬件工程师,1
综合门诊/全科医生,2
半导体产品经理/产品工程师项目经理,2
可靠度工程师质量管理/测试工程师,1
营运主管产品/品牌主管,1
专业顾问技术总监/经理,1
技术支持/维护工程师运维工程师,4
销售工程师渠道/分销专员,6
电气工程师/技术员系统工程师,2
技术研发经理/主管产品工艺/制程工程师,1
机电工程师电子/电器维修工程师/技师,1
网络销售/在线销售销售工程师,1
电脑维修技术支持/维护工程师,1
半导体技术电子/电器维修工程师/技师,5
业务分析专员/助理商务主管/专员,1
人事专员企业文化/员工关系/工会管理,2
通信电源工程师电池/电源开发,2
合规经理合规主管/专员,2
财务主管/总账主管财务分析员,1
业务拓展主管/经理销售工程师,4
前台接待/总机/接待生空乘人员,1
行政专员/助理财务助理/财务文员,1
产品工艺/制程工程师封装研发工程师,2
SEO/SEM,2
审计经理/主管项目经理/主管,1
系统工程师IT经理/IT主管,1
集成电路IC设计/应用工程师FPGA原型验证工程师,1
销售代表网络销售/在线销售,6
市场企划专员市场企划经理/主管,2
技术研发工程师电气工程师/技术员,1
工程/设备经理电子工程师/技术员,1
美工/电商设计师平面设计师,1
汽车装配工艺工程师产品工艺/制程工程师,1
硬件工程师电子/电器维修工程师/技师,1
C/C++开发工程师系统架构设计师,1
贸易/外贸专员/助理物流专员/助理,1
管道/暖通给排水/暖通工程,1
仿真应用工程师集成电路IC设计/应用工程师,1
智能大厦/综合布线/安防/弱电网络管理,1
新媒体运营文案/策划,3
高级客户经理/客户经理客户关系经理/主管,1
后期制作影视策划/制作人员,2
游戏动画师动画/3D设计,1
法务主管/专员法务经理,1
电商专员渠道/分销专员,1
工程造价师/预结算经理管道/暖通,1
销售代表贸易/外贸专员/助理,3
公关/媒介助理产品/品牌专员,1
工程/机械绘图员绘画,2
机械工程师售前/售后技术支持主管,1
汽车销售/经纪人售后服务/客户服务,1
售后服务/客户服务客服专员/助理,2
质量管理/测试主管体系工程师,1
电子产品经理/产品工程师嵌入式软件开发,1
项目管理项目执行/协调人员,3
项目经理技术支持/维护工程师,1
投资/基金项目经理生物工程/生物制药,1
会计经理/会计主管成本经理/成本主管,1
财务经理投资/基金项目经理,1
售前/售后技术支持主管售前/售后技术支持经理,1
结构/土木/土建工程师,5
招投标管理商务主管/专员,2
自动控制工程师/技术员工程/设备工程师,1
电力工程师/技术员物业机电工程师,1
生产计划/物料管理普工/操作工,1
渠道/分销主管大客户销售,1
技术支持/维护工程师软件工程师,2
商务主管/专员市场/营销/拓展专员,1
半导体测试工程师半导体产品经理/产品工程师,1
首席执行官CEO/总裁/总经理,4
通信产品经理/产品工程师半导体产品经理/产品工程师,1
订单处理员客服专员/助理,1
自动控制工程师/技术员嵌入式软件开发,1
PHP开发工程师C/C++开发工程师,1
电子元器件工程师半导体产品经理/产品工程师,1
电气工程师/技术员电子工艺工程师,1
工程/机械绘图员结构工程师,2
知识产权/专利/商标其他,1
投诉专员咨询热线/呼叫中心服务人员,1
电工电力工程师/技术员,1
其他业务分析专员/助理,2
系统架构设计师C/C++开发工程师,2
电气工程师/技术员电子工程师/技术员,4
建筑工程管理/项目经理项目经理/主管,1
嵌入式软件开发电子工程师/技术员,4
合规主管/专员合规主管/专员,1
质检员/测试员大学/大专应届毕业生,2
环境/健康/安全工程师大学/大专应届毕业生,2
售前/售后技术支持工程师半导体产品经理/产品工程师,1
安防系统工程师大学/大专应届毕业生,1
嵌入式软件开发大学/大专应届毕业生,1
网站运营专员大学/大专应届毕业生,1
电商经理/电商主管电商总监,2
储备干部大学/大专应届毕业生,1
语音识别工程师大学/大专应届毕业生,1
结构工程师结构/土木/土建工程师,1
系统工程师大学/大专应届毕业生,1
仪器/仪表/计量分析师计量工程师,1
水利/水电工程师电力工程师/技术员,1
工程/设备经理设备主管,1
医疗器械市场推广医疗器械销售经理/主管,1
通信产品经理/产品工程师,4
项目工程师大学/大专应届毕业生,2
技术文员/助理大学/大专应届毕业生,1
系统架构设计师大学/大专应届毕业生,2
售前/售后技术支持工程师技术研发工程师,1
文员技术文员/助理,2
物料主管/专员生产计划/物料管理,2
自动控制工程师/技术员电子设备工程师,1
石油天然气技术人员矿产勘探/地质勘测工程师,1
审计专员/助理成本管理员,1
Java开发工程师C/C++开发工程师,2
电子设备工程师电子工程师/技术员,2
策略发展总监市场/营销/拓展总监,1
项目管理工程/设备工程师,2
数字后端工程师集成电路IC设计/应用工程师,1
售前/售后技术支持工程师项目执行/协调人员,1
成本管理员成本经理/成本主管,3
电子/电器维修工程师/技师自动化测试,1
通信产品经理/产品工程师产品工艺/制程工程师,2
财务助理/财务文员出纳员,3
工程/设备经理环境/健康/安全经理/主管,1
工程/设备主管环境/健康/安全工程师,1
自动控制工程师/技术员硬件测试工程师,1
后勤行政专员/助理,1
采购助理技术文员/助理,1
志愿者/社会工作者,1
项目管理电力工程师/技术员,1
其他生产计划/物料管理,1
软件工程师电气工程师/技术员,1
半导体产品经理/产品工程师半导体技术,3
广告创意总监艺术/设计总监,1
集成电路IC设计/应用工程师FPGA开发工程师,5
化学分析测试员化工实验室研究员/技术员,1
电气工程师/技术员硬件工程师,1
封装工程师产品工艺/制程工程师,1
FPGA开发工程师集成电路IC设计/应用工程师,1
工程/设备工程师半导体工艺工程师,1
市场/营销/拓展主管产品/品牌经理,1
市场/营销/拓展专员网络销售/在线销售,1
客户质量工程师质量管理/测试工程师,1
房地产销售经理/主管,1
项目管理市场/营销/拓展经理,1
商务经理销售行政经理/主管,2
网站运营经理/主管网络推广专员,2
市场/营销/拓展经理招商/租赁/租售,1
贸易/外贸专员/助理助理业务跟单,1
电池/电源开发化工实验室研究员/技术员,1
组装工普工/操作工,5
销售经理智能大厦/综合布线/安防/弱电,1
组装工售后服务/客户服务,1
渠道/分销经理贸易/外贸经理/主管,1
半导体测试工程师电子工程师/技术员,1
软件工程师售前/售后技术支持工程师,1
集成电路IC设计/应用工程师可测性设计工程师,2
人事助理招聘专员/助理,4
夹具工程师/技师结构工程师,1
C/C++开发工程师嵌入式软件开发,5
平面设计经理/主管网页设计师,1
智能大厦/综合布线/安防/弱电大客户销售,1
售后服务/客户服务售前/售后技术支持工程师,1
网络销售/在线销售销售代表,1
生产计划/物料管理其他,1
建筑工程管理/项目经理工程/设备经理,1
首席执行官CEO/总裁/总经理总裁助理/总经理助理,1
普工/操作工注塑工,1
市场/营销/拓展经理会务/会展主管,1
行政经理/主管/办公室主任销售行政经理/主管,1
智能大厦/综合布线/安防/弱电建筑工程管理/项目经理,3
客户经理/主管销售代表,3
通信项目管理项目执行/协调人员,1
自动化测试电子/电器维修工程师/技师,1
门店经理/店长店长助理,1
其他展览/展示/店面设计,2
售前/售后技术支持经理技术支持/维护经理,1
网络安全工程师大学/大专应届毕业生,1
网站维护工程师大学/大专应届毕业生,1
电商运营大学/大专应届毕业生,1
ETL开发工程师大学/大专应届毕业生,1
维修工程师大学/大专应届毕业生,1
公关/媒介助理,1
前台接待/总机/接待生档案管理员,1
会计助理税务专员/助理,1
芯片架构工程师集成电路IC设计/应用工程师,1
培训专员/助理/培训师人事专员,2
电子/电器维修工程师/技师失效分析工程师,1
销售经理售前/售后技术支持经理,4
自动控制工程师/技术员硬件工程师,1
市场/营销/拓展专员市场分析/调研人员,6
电子产品经理/产品工程师产品工艺/制程工程师,1
需求工程师产品经理/主管,1
产品/品牌专员其他,1
工程/设备主管机修工,1
电子工程师/技术员嵌入式软件开发,3
电力线路工装配工程师/技师,1
电子文档工程师电子工程师/技术员,1
客服专员/助理生产文员,1
环境/健康/安全工程师化工技术应用/化工工程师,1
机器学习工程师培训经理/主管,1
电力工程师/技术员机电工程师,2
生产计划/物料管理供应商开发,1
机电工程师大学/大专应届毕业生,1
无线通信工程师通信产品经理/产品工程师,1
工程/设备经理电气/电器工程师,1
副总经理/副总裁营业部总经理/副总经理,2
营业部总经理/副总经理副总经理/副总裁,1
集成电路IC设计/应用工程师有线传输工程师,1
总监/部门经理财务总监,1
电子工程师/技术员半导体设备工程师,1
售前/售后技术支持主管其他,1
软件测试工程师质量管理/测试工程师,3
市场企划经理/主管市场通路经理/主管,1
供应链主管/专员采购主管,1
售前/售后技术支持工程师通信技术工程师,1
医疗器械销售经理/主管,5
嵌入式软件开发电路工程师/技术员,2
电子元器件工程师电气工程师/技术员,1
售前/售后技术支持工程师故障分析工程师,1
讲师/助教培训讲师,1
销售总监渠道/分销总监,2
夹具工程师/技师机电工程师,1
半导体器件工程师集成电路IC设计/应用工程师,1
法务主管/专员合规主管/专员,2
销售经理渠道/分销总监,1
项目执行/协调人员质检员/测试员,1
渠道/分销总监,20
电子工艺工程师工程/设备工程师,1
生产计划/物料管理生产主管,3
装配工程师/技师结构工程师,1
会计助理财务助理/财务文员,2
FAE 现场应用工程师工程/设备工程师,1
电商专员贸易/外贸专员/助理,2
质量管理/测试工程师生产主管,1
技术文员/助理项目管理,1
项目主管项目执行/协调人员,3
嵌入式软件开发C/C++开发工程师,7
业务拓展主管/经理客户经理/主管,1
总裁助理/总经理助理总监/部门经理,1
技术支持/维护工程师销售工程师,1
管道/暖通普工/操作工,1
技术文员/助理文员,1
工程/设备工程师电力工程师/技术员,1
工厂经理/厂长生产主管,1
前台接待/总机/接待生文员,3
汽车电子工程师电气/电器工程师,1
渠道/分销总监市场/营销/拓展总监,1
仪器/仪表/计量分析师技术支持/维护工程师,1
人事主管经理助理/秘书,1
质量管理/测试工程师产品工艺/制程工程师,2
结构工程师产品工艺/制程工程师,3
动画/3D设计原画师,1
环境/健康/安全工程师环境/健康/安全经理/主管,1
贸易/外贸专员/助理订单处理员,1
贸易/外贸专员/助理供应链主管/专员,1
经理助理/秘书总裁助理/总经理助理,1
市场/营销/拓展专员市场/营销/拓展主管,1
焊工普工/操作工,2
工厂经理/厂长,7
物料主管/专员仓库管理员,2
室内设计工程/机械绘图员,1
集成电路IC设计/应用工程师光通信工程师,1
质检员/测试员生产主管,1
产品工艺/制程工程师其他,1
渠道/分销主管,9
视觉/交互设计,2
给排水设计给排水/暖通工程,1
语音识别工程师技术研发经理/主管,1
技术总监/经理项目经理,1
会计成本经理/成本主管,2
嵌入式软件开发技术总监/经理,1
行政经理/主管/办公室主任行政总监,1
科研管理人员技术总监/经理,1
数控编程工程/设备工程师,1
可测性设计工程师集成电路IC设计/应用工程师,1
贸易/外贸经理/主管销售经理,1
网络/在线客服客服专员/助理,5
产品工艺/制程工程师硬件工程师,1
客服主管售前/售后技术支持主管,1
金融/经济研究员投资/理财顾问,1
投资/基金项目经理其他,1
生产经理/车间主任生产计划/物料管理,1
市场/营销/拓展经理销售代表,2
财务助理/财务文员会计助理,1
商务助理总裁助理/总经理助理,1
电子工艺工程师产品工艺/制程工程师,1
业务拓展主管/经理客户代表,1
办事处/分公司/分支机构经理,2
副总经理/副总裁合伙人,1
市场/营销/拓展主管芯片销售工程师,1
仪器/仪表/计量分析师电子技术研发工程师,1
电子工程师/技术员技工,1
人事专员财务助理/财务文员,1
空调/热能工程师工程/设备工程师,1
市场/营销/拓展专员市场通路专员,1
成本经理/成本主管财务分析经理/主管,2
技术研发工程师工程/设备主管,1
培训经理/主管,17
薪资福利经理/主管薪资福利专员/助理,2
电力工程师/技术员射频工程师,1
机械工程师技术研发经理/主管,2
业务分析专员/助理商务助理,1
工程/机械绘图员冲压工程师/技师,1
医疗器械研发产品工艺/制程工程师,1
射频芯片设计集成电路IC设计/应用工程师,3
自动控制工程师/技术员高级软件工程师,1
质检员/测试员其他,2
医药技术研发人员化工实验室研究员/技术员,2
生产主管工厂经理/厂长,1
市场分析/调研人员日语翻译,1
IT经理/IT主管网络管理,1
化工技术应用/化工工程师科研人员,1
技术文员/助理仪器/仪表/计量分析师,1
数据分析经理/主管,3
售前/售后技术支持工程师其他,1
测试经理实验室负责人/工程师,1
供应商开发质量管理/测试工程师,1
供应链主管/专员生产计划/物料管理,1
医疗器械生产/质量管理药品生产/质量管理,1
技术总监/经理电声/音响工程师/技术员,1
编辑导演/编导,1
测试工程师集成电路IC设计/应用工程师,1
质量管理/测试经理质量管理/测试工程师,1
知识产权/专利/商标销售代表,2
电商经理/电商主管网站运营经理/主管,1
咨询热线/呼叫中心服务人员客服主管,1
采购员贸易/外贸专员/助理,1
电力工程师/技术员电气工程师/技术员,1
店员/营业员促销员/导购员,3
客服专员/助理售后服务/客户服务,3
SEO/SEM网站运营专员,1
系统工程师技术支持/维护经理,1
电子工程师/技术员电子元器件工程师,3
集成电路IC设计/应用工程师电子元器件工程师,1
商务主管/专员招投标管理,1
预结算员工程造价师/预结算经理,2
注塑工程师/技师技工,1
网站运营经理/主管网站运营专员,2
塑料工程师化工实验室研究员/技术员,1
包装工普工/操作工,1
项目工程师生产计划/物料管理,1
渠道/分销专员大客户销售,2
渠道/分销主管建筑设计师,1
质量管理/测试工程师环境/健康/安全工程师,1
电子销售工程师电子产品经理/产品工程师,1
环保工程师环境/健康/安全经理/主管,1
网络推广专员市场/营销/拓展专员,4
后勤前台接待/总机/接待生,2
工程/设备工程师销售工程师,1
会务/会展主管市场分析/调研人员,1
化工技术应用/化工工程师设备主管,1
汽车电子工程师产品工艺/制程工程师,1
业务拓展主管/经理大客户销售,2
经理助理/秘书商务助理,1
市场/营销/拓展经理芯片销售工程师,1
C/C++开发工程师图像识别工程师,1
算法工程师自动控制工程师/技术员,1
电子工程师/技术员硬件工程师,6
广告创意/设计主管/专员平面设计师,1
焊接工艺工程师夹具工程师/技师,1
售前/售后技术支持工程师运维工程师,1
市场/营销/拓展经理市场助理,1
策略发展总监副总经理/副总裁,1
电子/电器维修工程师/技师普工/操作工,1
化工实验室研究员/技术员其他,1
技术总监/经理系统架构设计师,1
生产计划/物料管理供应链主管/专员,2
氩弧焊工焊接工程师/技师,1
售前/售后技术支持工程师售后服务/客户服务,2
文案/策划编辑,2
仓库经理/主管搬运工,1
销售行政经理/主管产品经理/主管,1
客户经理/主管销售主管,3
项目执行/协调人员建筑项目助理,1
项目经理项目经理/主管,2
供应商开发供应链主管/专员,1
促销主管/督导/巡店,3
技术文档工程师电子工程师/技术员,1
项目执行/协调人员项目经理,1
维修经理/主管,4
市场/营销/拓展经理销售经理,1
平面设计师动画/3D设计,1
采购助理行政专员/助理,1
项目执行/协调人员其他,2
商务主管/专员大客户管理,1
电路工程师/技术员电子工程师/技术员,2
项目工程师工程/设备主管,1
工程/设备工程师装配工程师/技师,3
普工/操作工其他,2
法务主管/专员律师/法律顾问,1
猎头/人才中介专业顾问,1
网络/在线客服销售代表,1
房地产项目/策划经理,1
电路工程师/技术员焊接工艺工程师,1
动力总成工程师工程/设备工程师,1
物料主管/专员生产文员,1
司仪婚礼/庆典策划服务,1
钟点工家政服务/保姆,1
嵌入式软件开发总监/部门经理,1
市场/营销/拓展专员商务助理,1
测试工程师电力工程师/技术员,2
电力工程师/技术员电子技术研发工程师,1
测试工程师电气工程师/技术员,3
商务经理品牌/连锁招商管理,1
SEO/SEM网络推广专员,1
实验室负责人/工程师化工实验室研究员/技术员,1
化工技术应用/化工工程师化工实验室研究员/技术员,5
招聘专员/助理人事专员,8
物料主管/专员仓储理货员,1
总监/部门经理项目经理,1
集成电路IC设计/应用工程师半导体测试工程师,3
维修工程师注塑工程师/技师,1
行政专员/助理招聘专员/助理,1
工程/设备工程师其他,1
产品/品牌专员市场企划专员,1
IT经理/IT主管首席技术执行官CTO/首席信息官CIO,1
客服专员/助理其他,1
进出口/信用证结算,4
渠道/分销总监渠道/分销经理,1
企业文化/员工关系/工会管理企业策划人员,1
仓库管理员生产计划/物料管理,2
业务跟单客服专员/助理,1
质检员/测试员采购材料、设备质量管理,1
技工产品工艺/制程工程师,2
项目执行/协调人员项目工程师,2
电子产品经理/产品工程师电池/电源开发,1
公关/媒介助理公关专员,1
市场助理市场/营销/拓展专员,1
电力工程师/技术员装配工程师/技师,1
医疗器械销售经理/主管销售经理,1
移动产品经理产品经理/主管,1
产品总监产品/品牌经理,1
前台接待/总机/接待生酒店前台,1
产品/品牌主管市场/营销/拓展主管,1
钳工普工/操作工,1
半导体产品经理/产品工程师客户质量工程师,1
投资/基金项目经理投资银行业务,1
电气工程师/技术员技术研发工程师,2
规划与设计项目经理/主管,1
体系工程师质量管理/测试工程师,3
空调/热能工程师管道/暖通,2
半导体产品经理/产品工程师半导体测试工程师,1
总裁助理/总经理助理销售主管,1
主播/主持人直播销售,1
半导体产品经理/产品工程师销售经理,1
财务分析经理/主管财务分析员,2
人事助理企业文化/员工关系/工会管理,1
招聘经理/主管培训经理/主管,1
绩效考核专员/助理人事助理,1
半导体产品经理/产品工程师FAE 现场应用工程师,2
知识产权/专利/商标专业顾问,1
知识产权/专利/商标情报信息分析人员,1
测试工程师实验室负责人/工程师,2
其他艺术/设计总监,1
工程/机械绘图员模具工程师,1
市场分析/调研人员金融产品经理,1
给排水/暖通工程建筑机电工程师,1
工程/设备主管项目主管,1
智能大厦/综合布线/安防/弱电项目经理,1
生物工程/生物制药化学分析测试员,1
会计经理/会计主管财务经理,1
芯片销售工程师技术支持/维护工程师,1
财务助理/财务文员行政专员/助理,1
